pilot_source,id,name,category_primary,region,tier_label,place_complexity,pin_ambiguity,gt_confidence,offset_haversine_m,should_move,current_lat,current_lon,gt_lat,gt_lon,full_address,gt_reasoning,manual_review_status,manual_should_move,manual_primary_pin_type,manual_needs_multi_pin,manual_notes,tier,sub_tier,sub_tier_label,gt_model,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,car_entry_lat,car_entry_lon,car_entry_confidence,car_entry_reasoning,entry_mode,cv_gt_lat,cv_gt_lon,cv_confidence,cv_model,cv_disagreement_m,offset_euclidean_m,offset_manhattan_m
high_offset,08f44a13947518d603b72a395228befa,Hayes Farms Christmas Trees,retail,FL,standard_commercial,simple,low,0.9,30.443493456935023,True,26.1366672,-80.1124977,26.13684057103121,-80.1122616666864,"2620 E Sunrise Blvd, Fort Lauderdale, FL, 33304-3206, US","The identified location is the main customer entrance of Hayes Farms Christmas Trees, facing the street, as indicated by the visible door and signage.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,26.13684057103121,-80.1122616666864,0.9,26.1366672,-80.1124977,0.2,The property appears to be a pedestrian-only urban storefront with no visible vehicle entry points.,both,,,,,,30.47773665538378,42.888122919789005
high_offset,08f44a1a94104063035aa6f92d47cc1c,Navarro Photo,pharmacy,FL,standard_commercial,simple,low,0.9,30.494131758544857,True,25.9417684,-80.3047098,25.94194205940805,-80.30447376668639,"6410 NW 186th St, Hialeah, FL, 33015-6006, US","The pin is placed at the main customer entrance of Navarro Photo, which is visible on the street-facing facade. The entrance is marked by signage and a door opening.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,25.94194205940805,-80.30447376668639,0.9,25.941556149612392,-80.3047098,0.9,The identified entry point is the most visible driveway entrance from the road leading into the parking lot for Navarro Photo.,both,,,,,,30.528431915599818,42.95946103279668
high_offset,08f489d59ab606c803517ccee128ff0f,Chateau Burg RV Resort,rv_park,TX,open_space,complex,high,0.9,32.981591582584514,True,30.237558,-98.9018371,30.23726138942092,-98.9018371,"3255 S State Highway 16, Fredericksburg, TX, 78624, US","The pin is placed at the main entrance area where the parking lot is located, which serves as the primary access point for visitors.",,,,True,,3,3b,large_outdoor,gpt-4o-mini,,,,30.23726138942092,-98.9018371,0.9,,shared,,,,,,33.01868966291778,33.01868966291778
high_offset,08f44d84aa9458da03f8e5d2233a32ec,FASTSIGNS,sign_making,NC,standard_commercial,simple,low,0.9,32.199256849663314,True,35.0881344,-80.8459568,35.088204632251475,-80.84561347881656,"7510 Pineville Matthews Rd, Charlotte, NC, 28226-4072, US","The main customer entrance is located on the street-facing facade, identifiable by the door and signage. The pin is placed as close to the entrance as possible.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,35.088204632251475,-80.84561347881656,0.9,35.0881344,-80.84572076668638,0.9,"The identified entry point is the most visible driveway entrance from the road, allowing vehicles to access the parking lot.",both,,,,,,32.235474950798455,39.09125770409327
high_offset,08f44ae853a9ec4a030413c1cdcb4f3b,Express Factory Outlet,clothing_store,FL,standard_commercial,simple,low,0.9,30.288913023751725,True,26.7234464,-80.0858397,26.72361889072092,-80.08560366668638,"1801 Palm Beach Lakes Blvd, West Palm Beach, FL, 33401-2001, US","The identified location is the main customer entrance of the Express Factory Outlet, facing Palm Beach Lakes Blvd, which is the primary access point for pedestrians.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,26.72361889072092,-80.08560366668638,0.9,26.7234464,-80.0858397,0.3,"The property has multiple entries, but the primary entry point is not clearly visible from the current pin location. The center is marked with low confidence due to uncertainty in identifying a specific car entry point.",both,,,,,,30.32298234736037,42.67035344188657
high_offset,08f4880ca67032b603a0cc92e246c7ef,Redbox,clothing_rental,TX,standard_commercial,simple,low,0.9,30.058619464091244,True,27.5761509,-99.4722294,27.57632207923665,-99.4719933666864,"7811 Mcpherson Rd, Laredo, TX, 78045, US","The pin is placed at the main customer entrance facing the street, which is identifiable by the storefront door and signage.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,27.57632207923665,-99.4719933666864,0.9,27.57594168093297,-99.4722294,0.9,"The entry point is located at the bottom of the image where the parking lot opens from the road, providing the most visible access for vehicles.",both,,,,,,30.0924297507861,42.34592099437784
high_offset,08f2a98ba908c89403ed8847c6c2854b,Rc's Country Store & Fillin' Station,convenience_store,WV,standard_commercial,complex,high,0.9,33.64836576386022,True,37.619687,-82.1671691,37.619924945597255,-82.16693306668638,"11366 State Highway 1056, Matewan, WV, 41544-8544, US","The main entrance is located on the street-facing side of the building, identifiable by the door and signage. The pin is placed close to the entrance as per the imagery.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,37.619924945597255,-82.16693306668638,0.9,37.61950004274501,-82.1671691,0.9,The identified entry point is the most visible driveway entrance from the road leading to the parking lot of Rc's Country Store & Fillin' Station.,both,,,,,,33.68621383898381,47.30015220720736
high_offset,08f2aa87ae61d29903ac915e9d12bf0b,Save A Lot,supermarket,MD,standard_commercial,simple,low,0.9,30.666422020651996,True,38.8020635,-76.9896628,38.80213038887113,-76.98931947881657,"6309 Livingston Rd, Oxon Hill, MD, 20745-3027, US","The pin is placed at the main customer entrance of the Save A Lot supermarket, which is visible on the street-facing facade. The location is close to the door as per the imagery.",,,,False,,1,1b,large_standalone,gpt-4o-mini,38.80213038887113,-76.98931947881657,0.9,38.80187955560441,-76.9896628,0.9,The identified entry point is the most visible driveway entrance from the road leading into the parking lot of Save A Lot.,both,,,,,,30.700915971180457,37.23033168829031
high_offset,08f44a18533412ad030093a67a54e92f,Walgreens,medical_supply,FL,standard_commercial,simple,low,0.9,30.556477910976856,True,25.6999195,-80.3816503,25.70009351445916,-80.38141426668639,"11690 SW 72nd St, Miami, FL, 33173-2691, US","The main entrance of Walgreens is located on the street-facing facade, identifiable by the storefront door and signage. The pin is placed close to the entrance.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,25.70009351445916,-80.38141426668639,0.9,25.69961014096149,-80.3816503,0.9,"The primary vehicle entry point is visible on the right side of the property, where the driveway leads into the parking lot from the road.",both,,,,,,30.59084819572595,43.04729290534448
high_offset,08f2a93086c8cd3403cf2b85aa45cce3,Studio Vapes,e_cigarette_store,OH,standard_commercial,simple,low,0.9,31.60122140899684,True,39.1877055,-84.6523335,39.18760571196966,-84.65199017881656,"6302 Harrison Ave, Cincinnati, OH, 45247-7819, US","The main entrance of Studio Vapes is located on the street-facing facade, identifiable by the door and signage. The pin is placed close to the entrance as per the imagery.",,,,False,,1,1c,small_urban_storefront,gpt-4o-mini,39.18760571196966,-84.65199017881656,0.9,39.18752255527771,-84.65209746668639,0.9,"The primary vehicle entry point is located on the right side of the property, where the driveway leads into the parking lot from the road.",both,,,,,,31.63676683267944,40.73083399943483
