id,name,category_primary,region,tier_label,sub_tier_label,place_complexity,pin_ambiguity,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,car_entry_lat,car_entry_lon,car_entry_confidence,car_entry_reasoning,entry_mode,cv_disagreement_m,car_pedestrian_distance_m,current_to_pedestrian_m,current_to_car_m,offset_haversine_m,full_address,tier,sub_tier,gt_model,cv_gt_lat,cv_gt_lon,cv_confidence,cv_model,offset_euclidean_m,offset_manhattan_m,should_move
08f26e0cce79a7b603caea464ec624bb,Tanglefoot Wine Cellar,winery,KS,standard_commercial,small_urban_storefront,simple,low,38.6560007,-97.3887135,38.6560007,-97.3887135,1.0,"The current pin is already at the main customer entrance of Tanglefoot Wine Cellar, as it is positioned centrally at the storefront door.",38.6560007,-97.3887135,1.0,38.6560007,-97.3887135,0.8,The primary vehicle entry point is visible as a clear driveway leading from the road to the parking area near the winery.,shared,9.78,0.0,0.0,0.0,0.0,"9925 S Amos Rd, Gypsum, KS, 67448-9423, US",1,1c,gpt-4o-mini,38.65608867131515,-97.3887135,0.75,claude-haiku-4-5-20251001,0.0,0.0,False
08f44dab0c4b02db035754f1e3be0658,Advance Auto Parts,auto_parts_and_supply_store,NC,standard_commercial,small_urban_storefront,simple,low,35.23657600998167,-80.73959752002338,35.23657600998167,-80.73959752002338,1.0,"The current pin is already at the main customer entrance of the Advance Auto Parts store, which is the appropriate location for pedestrian entry.",35.23657600998167,-80.73959752002338,1.0,35.23629559321997,-80.73959752002338,0.9,The identified entry point is the most visible driveway entrance from the road leading into the parking lot of Advance Auto Parts.,both,24.47,31.180921247062287,0.0,31.180921247062287,0.0,"3020 Milton Rd, Charlotte, NC, 28215, US",1,1c,gpt-4o-mini,35.23675565196963,-80.73944195261214,0.75,claude-haiku-4-5-20251001,0.0,0.0,False
08f266694b8dd34103db5d8f268c8bfe,SNT Biotech Lab,pharmacy,IL,standard_commercial,small_urban_storefront,simple,low,41.6186691,-88.2061076,41.6186691,-88.2061076,1.0,"The current pin is already at the main customer entrance of the pharmacy, as it is positioned at the storefront door facing the street.",41.6186691,-88.2061076,1.0,41.61849264580969,-88.20587156668638,0.9,"The identified entry point is the main driveway leading into the parking lot, which is visible from the road.",both,17.22,27.74803564453944,0.0,27.74803564453944,0.0,"24119 W Riverwalk Ct, Plainfield, IL, 60544-8102, US",1,1c,gpt-4o-mini,41.61881347161025,-88.20603249849111,0.72,claude-haiku-4-5-20251001,0.0,0.0,False
08f2a12a4cc9dd0e0322c9f4ab7ea904,Walmart Manville,shopping,NJ,multi_tenant,strip_mall_tenant,simple,low,40.5461038,-74.5842067,40.5461038,-74.5842067,1.0,The current pin is already at the correct unit entrance for Walmart Manville.,40.5461038,-74.5842067,1.0,40.54592444226625,-74.5842067,0.9,"The nearest parking lot entrance to Walmart Manville is located directly south of the current pin, providing the most direct access for vehicles entering the shared property.",both,,19.943670047268824,0.0,19.943670047268824,0.0,"100 N Main St, Manville, NJ, 08835, US",2,2a,gpt-4o-mini,,,,,0.0,0.0,False
08f283429066298303bed6fc399bfad9,Birder's Garden,pet_store,CA,standard_commercial,small_urban_storefront,simple,low,37.5025224,-122.2552602,37.5025224,-122.2552602,1.0,"The current pin is already at the main customer entrance of Birder's Garden, which is the storefront door facing the street.",37.5025224,-122.2552602,1.0,37.5025224,-122.2552602,0.2,The property appears to be a pedestrian-only urban storefront with no visible driveway or parking lot entry from the road.,shared,29.84,0.0,0.0,0.0,0.0,"926 El Camino Real, San Carlos, CA, 94070-4011, US",1,1c,gpt-4o-mini,37.50278199865915,-122.25534603029584,0.7,claude-haiku-4-5-20251001,0.0,0.0,False
08f2a10b1c8ded5a03a8fecf134cffae,Frame Center,framing_store,NY,standard_commercial,small_urban_storefront,complex,high,40.855679,-73.191663,40.855679,-73.191663,1.0,"The current pin is already at the main customer entrance of the Frame Center, which is the storefront door facing the street.",40.855679,-73.191663,1.0,40.855679,-73.191663,0.2,The property appears to be a pedestrian-only storefront with no visible driveway or parking lot entry from the road.,shared,50.97,0.0,0.0,0.0,0.0,"73 E Main St, Smithtown, NY, 11787, US",1,1c,gpt-4o-mini,40.85576420563389,-73.19225844767753,0.85,claude-haiku-4-5-20251001,0.0,0.0,False
08f2a10680a5481c038912e2cbc64c3c,AT&T,mobile_phone_accessories,NJ,standard_commercial,small_urban_storefront,simple,low,40.5780706,-74.3874605,40.5780706,-74.3874605,1.0,"The current pin is already at the main customer entrance of the AT&T store, which is the storefront door facing the street.",40.5780706,-74.3874605,1.0,40.57754908116347,-74.3874605,0.9,"The primary vehicle entry point is visible on the left side of the image, leading into the parking lot adjacent to the AT&T store.",both,26.77,57.99024877179583,0.0,57.99024877179583,0.0,"911 Oak Tree Ave, South Plainfield, NJ, 07080, US",1,1c,gpt-4o-mini,40.577850584240835,-74.38733175455621,0.72,claude-haiku-4-5-20251001,0.0,0.0,False
08f2aa5d42d4112e038c6625ff858b5b,Robbie's Produce Market,grocery_store,NY,standard_commercial,large_standalone,simple,low,42.0971135,-76.0155347,42.0971135,-76.0155347,1.0,"The current pin is already at the main customer entrance of Robbie's Produce Market, which is the storefront door facing the street.",42.0971135,-76.0155347,1.0,42.09693836101174,-76.0155347,0.8,The identified entry point is the most visible driveway entrance from the road leading into the parking lot of Robbie's Produce Market.,both,28.33,19.47456695215788,0.0,19.47456695215788,0.0,"2303 Vestal Rd, Vestal, NY, 13850-1936, US",1,1b,gpt-4o-mini,42.09685875238071,-76.0155347,0.7,claude-haiku-4-5-20251001,0.0,0.0,False
08f2aacb2a04512c03af8b8a05907b21,Ruby Tuesday,american_restaurant,PA,standard_commercial,small_urban_storefront,simple,low,39.8878275,-75.2471,39.8878275,-75.2471,1.0,"The current pin is already at the main customer entrance of Ruby Tuesday, as it is centrally located at the storefront door facing the street.",39.8878275,-75.2471,1.0,39.8878275,-75.2471,0.2,"The property appears to have no visible driveway or parking lot entry from the road, indicating it may be pedestrian-only.",shared,37.52,0.0,0.0,0.0,0.0,"8680 Bartram Ave, Philadelphia, PA, 19153-3105, US",1,1c,gpt-4o-mini,39.8881197435752,-75.24731994013314,0.75,claude-haiku-4-5-20251001,0.0,0.0,False
08f2a86d96d0c2f4039c1589e3f3c720,Skyway Drive-In - Green Location,burger_restaurant,OH,standard_commercial,small_urban_storefront,simple,low,40.9748493,-81.4900903,40.9748493,-81.4900903,1.0,"The current pin is already at the main customer entrance of the Skyway Drive-In, which is the storefront door facing the street.",40.9748493,-81.4900903,1.0,40.97459009336727,-81.4900903,0.9,The identified entry point is the most visible driveway entrance from the road leading into the parking lot of the Skyway Drive-In.,both,26.61,28.822462512278157,0.0,28.822462512278157,0.0,"951 E Turkeyfoot Lake Rd, Green, OH, 44312-5240, US",1,1c,gpt-4o-mini,40.974630594403635,-81.48996155455622,0.72,claude-haiku-4-5-20251001,0.0,0.0,False
