pilot_source,id,name,category_primary,region,tier_label,place_complexity,pin_ambiguity,manual_review_status,manual_should_move,manual_primary_pin_type,manual_needs_multi_pin,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,offset_haversine_m,full_address,gt_reasoning,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,vehicle_entry_lat,vehicle_entry_lon,vehicle_entry_confidence,delivery_entry_lat,delivery_entry_lon,delivery_entry_confidence,accessible_entry_lat,accessible_entry_lon,accessible_entry_confidence,multipin_notes,manual_notes,should_move,tier,gt_model,offset_euclidean_m,offset_manhattan_m,has_pedestrian_entry,has_vehicle_entry,has_delivery_entry,has_accessible_entry,pedestrian_vehicle_distance_m,current_to_pedestrian_m,current_to_vehicle_m
high_offset,08f44f082e49c142032785383719bd54,Starke / Gainesville N.E. KOA Holiday,campground,FL,open_space,complex,high,ambiguous,true,vehicle_entry,True,29.93105,-82.11921,29.93067808596461,-82.11921,0.9,41.35495388334864,"1475 S Walnut St, Starke, FL, 32091, US","The pin is placed at the main access point near the entrance of the campground, which is visible from the road and serves as the primary entry for visitors.",,,,29.93067808596461,-82.11921,0.9,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,41.40147041931172,41.40147041931172,False,True,False,False,,,41.35495388334864
high_offset,08f441ad446d54200323a1a9871a5d0d,Pinch A Penny Pool Patio Spa,hot_tubs_and_pools,FL,multi_tenant,simple,low,ambiguous,true,pedestrian_entry,True,27.773071,-82.38952,27.77316592831571,-82.38909084852071,0.9,43.52161776438841,"6508 N US Highway 41, Apollo Beach, FL, 33572, US","The specific unit for 'Pinch A Penny Pool Patio Spa' is located towards the right side of the building complex, closer to the highway, based on the address provided.",27.77316592831571,-82.38909084852071,0.9,27.773071,-82.38952,0.4,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,43.57057139019508,52.83708208100597,True,True,False,False,43.52161776438841,43.52161776438841,0.0
high_offset,08f288423356c91103ca007f24b8f280,Cafe Rio Fresh Modern Mexican,fast_food_restaurant,ID,standard_commercial,multi_tenant,medium,ambiguous,true,pedestrian_entry,True,43.62281,-116.35383,43.62288766539499,-116.3534008485207,0.9,35.60710986864784,"3243 E Village Dr Ste 100, Meridian, ID, 83646, US","The pin is placed at the main customer entrance facing the street, which is identifiable by the storefront door and signage.",43.62288766539499,-116.3534008485207,0.9,43.62281,-116.35383,0.4,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,True,1,gpt-4o-mini,35.647161164238995,43.22853651109785,True,True,False,False,35.60710986864784,35.60710986864784,0.0
high_offset,08f2a9dac8286a54032f3c8132bc29e9,New River Hideaways,holiday_rental_home,WV,open_space,simple,low,ambiguous,true,vehicle_entry,True,37.4695715,-80.8257251,37.46965665186401,-80.8252959485207,0.8,39.03942026959968,"371 Shumate Rd, Peterstown, WV, 24963-9296, US","The pin is placed near the main access point visible from the road, which appears to be the most prominent entry to the area.",,,,37.46965665186401,-80.8252959485207,0.8,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,39.08333226719558,47.39550591056268,False,True,False,False,,,39.03942026959968
high_offset,08f279a0d2a9ace503c8225af210ef6a,Dead Indian Campground,campground,,open_space,complex,high,ambiguous,true,vehicle_entry,True,44.7532456,-109.4176892,44.75294084001048,-109.4176892,0.9,33.88776467894872,"2056 WY-296, 82414, US","The pin should be placed at the main access point, which is the parking lot entrance visible near the road. This location is where visitors would first arrive.",,,,44.75294084001048,-109.4176892,0.9,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,33.92588203317587,33.92588203317587,False,True,False,False,,,33.88776467894872
high_offset,08f26c82b444abad03b61053ffc9f114,Resae's Pieces of Vintage,shopping,TX,multi_tenant,simple,low,ambiguous,true,pedestrian_entry,True,33.011185,-96.7066184,33.01127496776997,-96.7061892485207,0.9,41.2473622296562,"800 N Central Expy, Plano, TX, 75074-6736, US","The pin needs to be placed at the specific storefront entrance of 'Resae's Pieces of Vintage' within the multi-tenant building, which is located towards the right side of the building in the image.",33.01127496776997,-96.7061892485207,0.9,33.011185,-96.7066184,0.4,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,41.29375774612652,50.076040331573815,True,True,False,False,41.2473622296562,41.2473622296562,0.0
high_offset,08f26651084e2a46039e4550d4309a43,Southern Sites Campground & RV Park,campground,IN,open_space,complex,high,ambiguous,true,vehicle_entry,True,40.8568069,-86.2481677,40.85648231263542,-86.2481677,0.9,36.09246819432976,"6688 E County Road 625 N, Twelve Mile, IN, 46988, US","The pin is placed at the main parking lot entrance, which is the most prominent access point for visitors arriving at the campground.",,,,40.85648231263542,-86.2481677,0.9,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,36.13306542515289,36.13306542515289,False,True,False,False,,,36.09246819432976
high_offset,08f2ad3c69044aca03c94926717c3b4a,Redbox,rental_kiosks,NC,multi_tenant,simple,low,ambiguous,true,pedestrian_entry,True,33.9069707,-78.5854979,33.90661452812324,-78.58463959704139,0.9,88.55851499138984,"9810 Ocean Highway W, Calabash, NC, 28467, US","The pin needs to be placed at the specific storefront entrance of Redbox within the multi-tenant building, which is located towards the right side of the image, closer to the shopping center.",33.90661452812324,-78.58463959704139,0.9,33.9069707,-78.5854979,0.4,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,88.65812664627256,118.94732562985014,True,True,False,False,88.55851499138984,88.55851499138984,0.0
high_offset,08f2aae28e0e1cce034c019d3f761017,Reeds Jewelers,jewelry_store,MD,standard_commercial,multi_tenant,medium,ambiguous,true,pedestrian_entry,True,39.3820102,-77.4055761,39.38209312631673,-77.40514694852071,0.9,38.01907677859919,"5500 Buckeystown Pike Ste 418, Frederick, MD, 21703, US","The pin is placed at the main entrance of Reeds Jewelers, which is visible on the street-facing facade. The current pin is not at the entrance, so this location is more accurate.",39.38209312631673,-77.40514694852071,0.9,39.3820102,-77.4055761,0.4,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,True,1,gpt-4o-mini,38.06184108181457,46.15676595515384,True,True,False,False,38.01907677859919,38.01907677859919,0.0
high_offset,08f2759301db539d0356df261133ee31,Palatine Farmers' Market,farmers_market,IL,open_space,simple,low,ambiguous,true,vehicle_entry,True,42.1128041,-88.0469241,42.11248574427483,-88.0469241,0.9,35.3995415075149,"137 W Wood St, Palatine, IL, 60067-5003, US","The pin is placed near the main access point of the farmers' market, which appears to be at the parking lot entrance on the south side of the market area.",,,,42.11248574427483,-88.0469241,0.9,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,35.43935932595218,35.43935932595218,False,True,False,False,,,35.3995415075149
high_offset,08f2ad394b134370030357f8d3d100ae,Tiki Pineapple Whips,food_truck,NC,open_space,simple,low,ambiguous,true,vehicle_entry,True,33.9106764,-78.1171478,33.91032024360761,-78.1171478,0.9,39.60278392600747,"4602 E Beach Dr, Oak Island, NC, 28465-5231, US","The pin is placed at the main access point near the intersection of roads leading to the open space, which appears to be the most prominent entry for visitors.",,,,33.91032024360761,-78.1171478,0.9,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,39.64732960112116,39.64732960112116,False,True,False,False,,,39.602783926007476
high_offset,08f44e42a57443850332b160c172bd16,Mystic Pearl,holiday_rental_home,,open_space,simple,low,ambiguous,true,vehicle_entry,True,29.8123333,-85.3037043,29.81196094308996,-85.3037043,0.8,41.40419929767114,"115 Saltspray Ct, 32456, US","The pin is placed near the main access point visible in the image, which appears to be a parking lot entrance for the holiday rental home.",,,,29.81196094308996,-85.3037043,0.8,,,,,,,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.","Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,41.45077122622197,41.45077122622197,False,True,False,False,,,41.40419929696382
multi_tenant,08f29a089a180cd6031e0d89a240914a,United States Postal Service,shipping_center,CA,multi_tenant,simple,low,ambiguous,unknown,pedestrian_entry,True,33.7127011,-117.1917623,33.7127011,-117.1917623,0.9,0.0,"26822 Cherry Hills Blvd, Menifee, CA, 92586, US","The current pin is located at the center of the complex, which is likely close to the USPS storefront entrance based on the address provided. However, without specific visual confirmation of the unit's entrance, a slight adjustment may be needed.",33.7127011,-117.1917623,0.9,,,,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Vehicle entry unknown. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,False,2,gpt-4o-mini,0.0,0.0,True,False,False,False,,0.0,
multi_tenant,08f489c1556eb89303c25f8c1c195737,Redbox,rental_kiosks,TX,multi_tenant,simple,low,ambiguous,true,pedestrian_entry,True,29.4851174,-98.6644559,29.48497731150748,-98.66456318786982,0.9,18.721383873778684,"9255 Grissom Rd, San Antonio, TX, 78251, US","The pin should be placed at the specific storefront entrance of Redbox within the multi-tenant building, which is located towards the left side of the building in the image.",29.48497731150748,-98.66456318786982,0.9,29.4851174,-98.6644559,0.4,,,,,,,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,18.74244190577884,25.99109216558109,True,True,False,False,18.721383873778684,18.721383873778684,0.0
