name,category_primary,tier_label,place_complexity,pin_ambiguity,manual_review_status,manual_primary_pin_type,manual_needs_multi_pin,visual_review_status,visual_review_priority,visual_review_needs_human,visual_pedestrian_entry_correct,visual_vehicle_entry_correct,pedestrian_vehicle_distance_m,full_address,google_search_url,current_pin_url,gt_pin_url,pedestrian_entry_url,vehicle_entry_url,visual_notes,multipin_notes,pilot_source,id,region,manual_should_move,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,offset_haversine_m,gt_reasoning,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,vehicle_entry_lat,vehicle_entry_lon,vehicle_entry_confidence,delivery_entry_lat,delivery_entry_lon,delivery_entry_confidence,accessible_entry_lat,accessible_entry_lon,accessible_entry_confidence,manual_notes,should_move,tier,gt_model,offset_euclidean_m,offset_manhattan_m,has_pedestrian_entry,has_vehicle_entry,has_delivery_entry,has_accessible_entry,visual_delivery_entry_visible,visual_accessible_entry_visible
Starke / Gainesville N.E. KOA Holiday,campground,open_space,complex,high,ambiguous,vehicle_entry,True,proxy_vehicle_accepted,medium,false,unknown,likely,,"1475 S Walnut St, Starke, FL, 32091, US",https://www.google.com/maps/search/?api=1&query=Starke+%2F+Gainesville+N.E.+KOA+Holiday+1475+S+Walnut+St%2C+Starke%2C+FL%2C+32091%2C+US,"https://www.google.com/maps/search/?api=1&query=29.93105,-82.11921","https://www.google.com/maps/search/?api=1&query=29.93067808596461,-82.11921",,"https://www.google.com/maps/search/?api=1&query=29.93067808596461,-82.11921",Automated proxy review; not satellite/street-level validation. Open-space row uses LLM ground truth as vehicle/main-access proxy. Pedestrian entry for open-space rows requires imagery.,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.",high_offset,08f44f082e49c142032785383719bd54,FL,true,29.93105,-82.11921,29.93067808596461,-82.11921,0.9,41.35495388334864,"The pin is placed at the main access point near the entrance of the campground, which is visible from the road and serves as the primary entry for visitors.",,,,29.93067808596461,-82.11921,0.9,,,,,,,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,41.40147041931172,41.40147041931172,False,True,False,False,unknown,unknown
Pinch A Penny Pool Patio Spa,hot_tubs_and_pools,multi_tenant,simple,low,ambiguous,pedestrian_entry,True,proxy_pedestrian_accepted,high,true,likely,weak_proxy,43.52161776438841,"6508 N US Highway 41, Apollo Beach, FL, 33572, US",https://www.google.com/maps/search/?api=1&query=Pinch+A+Penny+Pool+Patio+Spa+6508+N+US+Highway+41%2C+Apollo+Beach%2C+FL%2C+33572%2C+US,"https://www.google.com/maps/search/?api=1&query=27.773071,-82.38952","https://www.google.com/maps/search/?api=1&query=27.77316592831571,-82.38909084852071","https://www.google.com/maps/search/?api=1&query=27.77316592831571,-82.38909084852071","https://www.google.com/maps/search/?api=1&query=27.773071,-82.38952",Automated proxy review; not satellite/street-level validation. Multi-tenant row uses LLM ground truth as pedestrian/storefront proxy. Vehicle entry is a weak proxy and needs imagery. Pedestrian and vehicle proxy pins differ by 43.5m.,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,high_offset,08f441ad446d54200323a1a9871a5d0d,FL,true,27.773071,-82.38952,27.77316592831571,-82.38909084852071,0.9,43.52161776438841,"The specific unit for 'Pinch A Penny Pool Patio Spa' is located towards the right side of the building complex, closer to the highway, based on the address provided.",27.77316592831571,-82.38909084852071,0.9,27.773071,-82.38952,0.4,,,,,,,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,43.57057139019508,52.83708208100597,True,True,False,False,unknown,unknown
Cafe Rio Fresh Modern Mexican,fast_food_restaurant,standard_commercial,multi_tenant,medium,ambiguous,pedestrian_entry,True,proxy_pedestrian_accepted,high,true,likely,weak_proxy,35.60710986864784,"3243 E Village Dr Ste 100, Meridian, ID, 83646, US",https://www.google.com/maps/search/?api=1&query=Cafe+Rio+Fresh+Modern+Mexican+3243+E+Village+Dr+Ste+100%2C+Meridian%2C+ID%2C+83646%2C+US,"https://www.google.com/maps/search/?api=1&query=43.62281,-116.35383","https://www.google.com/maps/search/?api=1&query=43.62288766539499,-116.3534008485207","https://www.google.com/maps/search/?api=1&query=43.62288766539499,-116.3534008485207","https://www.google.com/maps/search/?api=1&query=43.62281,-116.35383",Automated proxy review; not satellite/street-level validation. Multi-tenant row uses LLM ground truth as pedestrian/storefront proxy. Vehicle entry is a weak proxy and needs imagery. Pedestrian and vehicle proxy pins differ by 35.6m.,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,high_offset,08f288423356c91103ca007f24b8f280,ID,true,43.62281,-116.35383,43.62288766539499,-116.3534008485207,0.9,35.60710986864784,"The pin is placed at the main customer entrance facing the street, which is identifiable by the storefront door and signage.",43.62288766539499,-116.3534008485207,0.9,43.62281,-116.35383,0.4,,,,,,,Multi-tenant or unit-level place; storefront confirmation is needed.,True,1,gpt-4o-mini,35.647161164238995,43.22853651109785,True,True,False,False,unknown,unknown
New River Hideaways,holiday_rental_home,open_space,simple,low,ambiguous,vehicle_entry,True,proxy_vehicle_accepted,medium,false,unknown,likely,,"371 Shumate Rd, Peterstown, WV, 24963-9296, US",https://www.google.com/maps/search/?api=1&query=New+River+Hideaways+371+Shumate+Rd%2C+Peterstown%2C+WV%2C+24963-9296%2C+US,"https://www.google.com/maps/search/?api=1&query=37.4695715,-80.8257251","https://www.google.com/maps/search/?api=1&query=37.46965665186401,-80.8252959485207",,"https://www.google.com/maps/search/?api=1&query=37.46965665186401,-80.8252959485207",Automated proxy review; not satellite/street-level validation. Open-space row uses LLM ground truth as vehicle/main-access proxy. Pedestrian entry for open-space rows requires imagery.,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.",high_offset,08f2a9dac8286a54032f3c8132bc29e9,WV,true,37.4695715,-80.8257251,37.46965665186401,-80.8252959485207,0.8,39.03942026959968,"The pin is placed near the main access point visible from the road, which appears to be the most prominent entry to the area.",,,,37.46965665186401,-80.8252959485207,0.8,,,,,,,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,39.08333226719558,47.39550591056268,False,True,False,False,unknown,unknown
Dead Indian Campground,campground,open_space,complex,high,ambiguous,vehicle_entry,True,proxy_vehicle_accepted,medium,false,unknown,likely,,"2056 WY-296, 82414, US",https://www.google.com/maps/search/?api=1&query=Dead+Indian+Campground+2056+WY-296%2C+82414%2C+US,"https://www.google.com/maps/search/?api=1&query=44.7532456,-109.4176892","https://www.google.com/maps/search/?api=1&query=44.75294084001048,-109.4176892",,"https://www.google.com/maps/search/?api=1&query=44.75294084001048,-109.4176892",Automated proxy review; not satellite/street-level validation. Open-space row uses LLM ground truth as vehicle/main-access proxy. Pedestrian entry for open-space rows requires imagery.,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.",high_offset,08f279a0d2a9ace503c8225af210ef6a,,true,44.7532456,-109.4176892,44.75294084001048,-109.4176892,0.9,33.88776467894872,"The pin should be placed at the main access point, which is the parking lot entrance visible near the road. This location is where visitors would first arrive.",,,,44.75294084001048,-109.4176892,0.9,,,,,,,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,33.92588203317587,33.92588203317587,False,True,False,False,unknown,unknown
Resae's Pieces of Vintage,shopping,multi_tenant,simple,low,ambiguous,pedestrian_entry,True,proxy_pedestrian_accepted,high,true,likely,weak_proxy,41.2473622296562,"800 N Central Expy, Plano, TX, 75074-6736, US",https://www.google.com/maps/search/?api=1&query=Resae%27s+Pieces+of+Vintage+800+N+Central+Expy%2C+Plano%2C+TX%2C+75074-6736%2C+US,"https://www.google.com/maps/search/?api=1&query=33.011185,-96.7066184","https://www.google.com/maps/search/?api=1&query=33.01127496776997,-96.7061892485207","https://www.google.com/maps/search/?api=1&query=33.01127496776997,-96.7061892485207","https://www.google.com/maps/search/?api=1&query=33.011185,-96.7066184",Automated proxy review; not satellite/street-level validation. Multi-tenant row uses LLM ground truth as pedestrian/storefront proxy. Vehicle entry is a weak proxy and needs imagery. Pedestrian and vehicle proxy pins differ by 41.2m.,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,high_offset,08f26c82b444abad03b61053ffc9f114,TX,true,33.011185,-96.7066184,33.01127496776997,-96.7061892485207,0.9,41.2473622296562,"The pin needs to be placed at the specific storefront entrance of 'Resae's Pieces of Vintage' within the multi-tenant building, which is located towards the right side of the building in the image.",33.01127496776997,-96.7061892485207,0.9,33.011185,-96.7066184,0.4,,,,,,,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,41.29375774612652,50.076040331573815,True,True,False,False,unknown,unknown
Southern Sites Campground & RV Park,campground,open_space,complex,high,ambiguous,vehicle_entry,True,proxy_vehicle_accepted,medium,false,unknown,likely,,"6688 E County Road 625 N, Twelve Mile, IN, 46988, US",https://www.google.com/maps/search/?api=1&query=Southern+Sites+Campground+%26+RV+Park+6688+E+County+Road+625+N%2C+Twelve+Mile%2C+IN%2C+46988%2C+US,"https://www.google.com/maps/search/?api=1&query=40.8568069,-86.2481677","https://www.google.com/maps/search/?api=1&query=40.85648231263542,-86.2481677",,"https://www.google.com/maps/search/?api=1&query=40.85648231263542,-86.2481677",Automated proxy review; not satellite/street-level validation. Open-space row uses LLM ground truth as vehicle/main-access proxy. Pedestrian entry for open-space rows requires imagery.,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.",high_offset,08f26651084e2a46039e4550d4309a43,IN,true,40.8568069,-86.2481677,40.85648231263542,-86.2481677,0.9,36.09246819432976,"The pin is placed at the main parking lot entrance, which is the most prominent access point for visitors arriving at the campground.",,,,40.85648231263542,-86.2481677,0.9,,,,,,,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,36.13306542515289,36.13306542515289,False,True,False,False,unknown,unknown
Redbox,rental_kiosks,multi_tenant,simple,low,ambiguous,pedestrian_entry,True,proxy_pedestrian_accepted,high,true,likely,weak_proxy,88.55851499138984,"9810 Ocean Highway W, Calabash, NC, 28467, US",https://www.google.com/maps/search/?api=1&query=Redbox+9810+Ocean+Highway+W%2C+Calabash%2C+NC%2C+28467%2C+US,"https://www.google.com/maps/search/?api=1&query=33.9069707,-78.5854979","https://www.google.com/maps/search/?api=1&query=33.90661452812324,-78.58463959704139","https://www.google.com/maps/search/?api=1&query=33.90661452812324,-78.58463959704139","https://www.google.com/maps/search/?api=1&query=33.9069707,-78.5854979",Automated proxy review; not satellite/street-level validation. Multi-tenant row uses LLM ground truth as pedestrian/storefront proxy. Vehicle entry is a weak proxy and needs imagery. Pedestrian and vehicle proxy pins differ by 88.6m.,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,high_offset,08f2ad3c69044aca03c94926717c3b4a,NC,true,33.9069707,-78.5854979,33.90661452812324,-78.58463959704139,0.9,88.55851499138984,"The pin needs to be placed at the specific storefront entrance of Redbox within the multi-tenant building, which is located towards the right side of the image, closer to the shopping center.",33.90661452812324,-78.58463959704139,0.9,33.9069707,-78.5854979,0.4,,,,,,,Multi-tenant or unit-level place; storefront confirmation is needed.,True,2,gpt-4o-mini,88.65812664627256,118.94732562985014,True,True,False,False,unknown,unknown
Reeds Jewelers,jewelry_store,standard_commercial,multi_tenant,medium,ambiguous,pedestrian_entry,True,proxy_pedestrian_accepted,high,true,likely,weak_proxy,38.01907677859919,"5500 Buckeystown Pike Ste 418, Frederick, MD, 21703, US",https://www.google.com/maps/search/?api=1&query=Reeds+Jewelers+5500+Buckeystown+Pike+Ste+418%2C+Frederick%2C+MD%2C+21703%2C+US,"https://www.google.com/maps/search/?api=1&query=39.3820102,-77.4055761","https://www.google.com/maps/search/?api=1&query=39.38209312631673,-77.40514694852071","https://www.google.com/maps/search/?api=1&query=39.38209312631673,-77.40514694852071","https://www.google.com/maps/search/?api=1&query=39.3820102,-77.4055761",Automated proxy review; not satellite/street-level validation. Multi-tenant row uses LLM ground truth as pedestrian/storefront proxy. Vehicle entry is a weak proxy and needs imagery. Pedestrian and vehicle proxy pins differ by 38.0m.,PROXY LABEL: using LLM ground-truth coordinate as pedestrian/storefront entry. Current pin retained as weak vehicle/complex proxy. Delivery and accessible entries require visual review.,high_offset,08f2aae28e0e1cce034c019d3f761017,MD,true,39.3820102,-77.4055761,39.38209312631673,-77.40514694852071,0.9,38.01907677859919,"The pin is placed at the main entrance of Reeds Jewelers, which is visible on the street-facing facade. The current pin is not at the entrance, so this location is more accurate.",39.38209312631673,-77.40514694852071,0.9,39.3820102,-77.4055761,0.4,,,,,,,Multi-tenant or unit-level place; storefront confirmation is needed.,True,1,gpt-4o-mini,38.06184108181457,46.15676595515384,True,True,False,False,unknown,unknown
Palatine Farmers' Market,farmers_market,open_space,simple,low,ambiguous,vehicle_entry,True,proxy_vehicle_accepted,medium,false,unknown,likely,,"137 W Wood St, Palatine, IL, 60067-5003, US",https://www.google.com/maps/search/?api=1&query=Palatine+Farmers%27+Market+137+W+Wood+St%2C+Palatine%2C+IL%2C+60067-5003%2C+US,"https://www.google.com/maps/search/?api=1&query=42.1128041,-88.0469241","https://www.google.com/maps/search/?api=1&query=42.11248574427483,-88.0469241",,"https://www.google.com/maps/search/?api=1&query=42.11248574427483,-88.0469241",Automated proxy review; not satellite/street-level validation. Open-space row uses LLM ground truth as vehicle/main-access proxy. Pedestrian entry for open-space rows requires imagery.,"PROXY LABEL: using LLM ground-truth coordinate as vehicle/main-access entry. Pedestrian, delivery, and accessible entries require visual review.",high_offset,08f2759301db539d0356df261133ee31,IL,true,42.1128041,-88.0469241,42.11248574427483,-88.0469241,0.9,35.3995415075149,"The pin is placed near the main access point of the farmers' market, which appears to be at the parking lot entrance on the south side of the market area.",,,,42.11248574427483,-88.0469241,0.9,,,,,,,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",True,3,gpt-4o-mini,35.43935932595218,35.43935932595218,False,True,False,False,unknown,unknown
