id,walk_m,straight_line_m,routing_penalty_m,routing_method
08f267572e5330000319afd679bf6ed5,0.0,15.94,0.0,osmnx_same_node
08f2659a58872db50332bfe5ae096bf5,44.43,21.71,22.72,osmnx
08f44a1109358c2803c2653be159cddb,0.0,27.44,0.0,osmnx_same_node
08f489d59ab606c803517ccee128ff0f,202.18,32.98,169.2,osmnx
08f2759301db539d0356df261133ee31,25.46,19.47,5.99,osmnx
08f29a0a902565a903e695f84329a98c,0.0,21.96,0.0,osmnx_same_node
08f29a198484d5800367d470e964a245,0.0,25.28,0.0,osmnx_same_node
08f2a84cf0035135038ee0c8f795caff,39.64,20.03,19.61,osmnx
08f48e96daaeb666036938586e519141,0.0,22.09,0.0,osmnx_same_node
08f48ebaad05ca2a0347342bf096873d,12.67,28.31,0.0,osmnx
08f2a866dc4c212003926906cd56590d,19.22,25.98,0.0,osmnx
08f2668b335919ab03cf315965459f09,0.0,26.66,0.0,osmnx_same_node
08f2a98ba908c89403ed8847c6c2854b,0.0,33.65,0.0,osmnx_same_node
08f264d10e4998140334ab60d1b30387,60.12,21.4,38.72,osmnx
08f29b6c1085a4c40386bb83e738e9b1,32.05,22.04,10.01,osmnx
08f2aae6e2699792032739471653a76d,0.0,9.8,0.0,osmnx_same_node
08f2640c507a574b03f3da764f851ea1,0.0,23.83,0.0,osmnx_same_node
08f44f055bd06889038fa1dd2bc20326,10.51,26.33,0.0,osmnx
08f26cb9a59a025a03875eda2c24729d,103.24,25.63,77.61,osmnx
08f27592e5d500db03c0c18956e61e37,0.0,25.24,0.0,osmnx_same_node
08f27526d406977403c9dc45b0429797,0.0,14.94,0.0,osmnx_same_node
08f2a100aca2d984031f9b86b66205ec,6.71,20.04,0.0,osmnx
08f44a91abc03151031b488ecce7fbae,246.42,26.82,219.6,osmnx
08f2a132cb013a5c0314172d0aab2dd4,17.9,23.57,0.0,osmnx
08f283474b343a2b039e12c11ad52e45,21.18,21.02,0.16,osmnx
08f48b2a4802592803f995fb28a5e906,0.0,23.82,0.0,osmnx_same_node
08f44442a48a2d06031f93035eb8b879,63.54,22.94,40.6,osmnx
08f44a915b9a2b8c03ffbe330ff14b89,117.04,26.79,90.25,osmnx
08f444654c8ae4d80340522ac5f31879,42.1,22.94,19.16,osrm
08f26d150276eb8803465c600f2e0b2f,17.0,21.65,0.0,osrm
08f2a9301d2cc91203ace71bf04f76fc,80.8,23.64,57.16,osrm
08f44e00d874e6cd0333011f2102e015,21.1,22.56,0.0,osrm
08f2a13153d4873203e33374d2f93f73,188.6,20.31,168.29,osrm
08f44f69027a986303c2790124a948e8,0.3,22.95,0.0,osrm
08f2a907594f175e03b878253444aa06,45.6,20.35,25.25,osrm
08f2ab2d82bb295e031c0e74eeede8ae,38.9,24.96,13.94,osrm
08f2aa6ca62e8a830368caa716cb40f7,49.3,28.82,20.48,osrm
08f44a100c42b2b6032a12a98a27939d,135.7,23.82,111.88,osrm
08f275264c1acc110396d2360d5a93e9,580.9,21.58,559.32,osrm
08f2986b8a256415033922603bc80ce5,20.5,21.38,0.0,osrm
08f44cd58ea5ba2003e2a4c61e834e25,58.1,21.67,36.43,osrm
08f441a8984c8750031de056ec21f9b7,413.5,26.93,386.57,osrm
08f283445937269803b7f0fe626bd986,24.1,24.23,0.0,osrm
08f2600b0ba0623403b272c6307f6e6b,17.9,22.11,0.0,osrm
08f29a0b5d5a3b8203591ad09ed8f8b4,154.9,21.8,133.1,osrm
08f28d57047004f303ce23d54504030d,69.1,20.5,48.6,osrm
08f444d68e8e0c09032deb7ed8091c7f,22.7,25.43,0.0,osrm
08f283035a5517a803d519edc5e95aee,183.0,23.87,159.13,osrm
08f2a896491b42f003539353ee455d76,51.8,22.65,29.15,osrm
08f2659a6cd851ab033dfc9758ba99aa,21.7,24.96,0.0,osrm
08f29a56dc4a5d1603208f21309c7b1a,502.7,13.2,489.5,osrm
08f266884b4ac928031ad5e9470a362c,0.6,20.82,0.0,osrm
08f489d526acb866033f3ce68ef0173a,329.7,22.93,306.77,osrm
08f2a134cb46b25a039cb20f625b7cea,26.7,23.41,3.29,osrm
08f264d6f624a79803b185ab9731c129,92.0,21.54,70.46,osrm
08f464958688119b03539be7c82101fe,87.4,24.66,62.74,osrm
