id,name,category_primary,region,tier,tier_label,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m,place_complexity,pin_ambiguity,should_move
08f2ad3c69044aca03c94926717c3b4a,Redbox,rental_kiosks,NC,2,multi_tenant,33.9069707,-78.5854979,33.90661452812324,-78.58463959704139,0.9,"The pin needs to be placed at the specific storefront entrance of Redbox within the multi-tenant building, which is located towards the right side of the image, closer to the shopping center.",gpt-4o-mini,"9810 Ocean Highway W, Calabash, NC, 28467, US",88.55851499138984,88.65812664627256,118.94732562985014,simple,low,True
08f441ad446d54200323a1a9871a5d0d,Pinch A Penny Pool Patio Spa,hot_tubs_and_pools,FL,2,multi_tenant,27.773071,-82.38952,27.77316592831571,-82.38909084852071,0.9,"The specific unit for 'Pinch A Penny Pool Patio Spa' is located towards the right side of the building complex, closer to the highway, based on the address provided.",gpt-4o-mini,"6508 N US Highway 41, Apollo Beach, FL, 33572, US",43.52161776438841,43.57057139019508,52.83708208100597,simple,low,True
08f44c0a32819ca303fba357b8406a3c,Redbox,rental_kiosks,GA,2,multi_tenant,32.859072,-83.6160651,32.85916212263196,-83.6156359485207,0.9,"The pin should be placed at the specific unit's storefront entrance for Redbox, which is located towards the right side of the building in the image.",gpt-4o-mini,"1280 Gray Hwy, Macon, GA, 31211, US",41.31836161036313,41.36483698784581,50.16223656416318,simple,low,True
08f26c82b444abad03b61053ffc9f114,Resae's Pieces of Vintage,shopping,TX,2,multi_tenant,33.011185,-96.7066184,33.01127496776997,-96.7061892485207,0.9,"The pin needs to be placed at the specific storefront entrance of 'Resae's Pieces of Vintage' within the multi-tenant building, which is located towards the right side of the building in the image.",gpt-4o-mini,"800 N Central Expy, Plano, TX, 75074-6736, US",41.2473622296562,41.29375774612652,50.076040331573815,simple,low,True
08f44d983279db530333f0c5bfd9ba97,CVS Beauty,shopping,NC,2,multi_tenant,35.5705523,-82.5066907,35.57063956793628,-82.5062615485207,0.9,"The pin is placed at the visible entrance of the CVS Beauty unit within the multi-tenant building, which is located towards the right side of the image.",gpt-4o-mini,"11 River Ridge Dr, Asheville, NC, 28803-1299, US",40.00957301445518,40.0545762499972,48.57331216644737,simple,low,True
08f283009e488b5d031e1466b323fed3,The Learning Experience,day_care_preschool,CA,2,multi_tenant,38.3370619,-121.9688603,38.33714605395519,-121.96843114852072,0.9,"The pin should be placed at the specific unit's storefront entrance for 'The Learning Experience,' which is located towards the right side of the building complex, closer to the parking area.",gpt-4o-mini,"1959 Peabody Rd, Vacaville, CA, 95687-6287, US",38.581910420071736,38.62530780399376,46.840069692917496,simple,low,True
08f2a8cd94ce1575032107222262aa81,Country Roads Audiology,shopping,VA,2,multi_tenant,38.4800336,-78.8722818,38.48011758763129,-78.8718526485207,0.9,"The pin should be placed at the specific storefront entrance of Country Roads Audiology, which is located on the right side of the building as viewed from above.",gpt-4o-mini,"1741 Virginia Ave, Harrisonburg, VA, 22802-8330, US",38.50565614351365,38.54896775594297,46.74749379066927,simple,low,True
08f2a3048981544d036c32651f9fb110,FedEx Office Print & Ship Center,shipping_center,NH,2,multi_tenant,42.7887955,-71.5149283,42.78887423456786,-71.5144991485207,0.9,"The pin is placed at the visible entrance of the FedEx Office Print & Ship Center unit within the multi-tenant building, which is located towards the right side of the image.",gpt-4o-mini,"441 Amherst St, Nashua, NH, 03063-1223, US",36.09729191296058,36.13789457000144,43.823638170306005,complex,high,True
08f275262b354b0b03a395e2955a7217,Diamond Vogel,shopping,MN,2,multi_tenant,45.0490657,-93.0313,45.04914149898576,-93.0308708485207,0.9,"The pin needs to be placed at the specific storefront entrance of Diamond Vogel, which is located towards the right side of the building complex. The current pin is at the center of the complex, not at the unit entrance.",gpt-4o-mini,"3580 Hoffman Rd E, Vadnais Heights, MN, 55110-5375, US",34.75142013930609,34.790508943943856,42.18969310687991,simple,low,True
08f489c1556eb89303c25f8c1c195737,Redbox,rental_kiosks,TX,2,multi_tenant,29.4851174,-98.6644559,29.48497731150748,-98.66456318786982,0.9,"The pin should be placed at the specific storefront entrance of Redbox within the multi-tenant building, which is located towards the left side of the building in the image.",gpt-4o-mini,"9255 Grissom Rd, San Antonio, TX, 78251, US",18.721383873778684,18.74244190577884,25.99109216558109,simple,low,True
