id,name,category_primary,region,tier,tier_label,sub_tier,sub_tier_label,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,car_entry_lat,car_entry_lon,car_entry_confidence,car_entry_reasoning,entry_mode,cv_gt_lat,cv_gt_lon,cv_confidence,cv_model,cv_disagreement_m,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m,place_complexity,pin_ambiguity,should_move
08f267572e5330000319afd679bf6ed5,Quick Stop Mart Academy,convenience_store,IL,1,standard_commercial,1c,small_urban_storefront,40.9440683,-90.3756834,40.94397105217276,-90.37582287423078,0.9,"The pin is placed at the main customer entrance of Quick Stop Mart Academy, which is located on the street-facing facade. The entrance is identifiable by the door and signage visible in the imagery.",gpt-4o-mini,40.94397105217276,-90.37582287423078,0.9,40.943890012316736,-90.3756834,0.8,The identified entry point is the most visible driveway entrance from the road leading to the parking lot of Quick Stop Mart Academy.,both,40.94431547156088,-90.3755546545562,0.75,claude-haiku-4-5-20251001,44.43,"275 S Academy St, Galesburg, IL, 61401-4325, US",15.942483453393203,15.96041574540061,22.553400567804207,simple,low,True
08f44a1109358c2803c2653be159cddb,ZOI Restaurant and Lounge,restaurant,FL,1,standard_commercial,1c,small_urban_storefront,25.8293436,-80.1869884,25.829469140162775,-80.18675236668639,0.9,"The identified location is the main entrance of ZOI Restaurant and Lounge, facing the street, as indicated by the visible door and signage.",gpt-4o-mini,25.829469140162775,-80.18675236668639,0.9,25.829131147416845,-80.1869884,0.8,The identified entry point is the most visible driveway entrance from the road leading to the parking area of ZOI Restaurant and Lounge.,both,25.82944499782378,-80.18704740832841,0.7,claude-haiku-4-5-20251001,29.65,"5808 NE 4th Ct, Miami, FL, 33137-2612, US",27.439786484847417,27.470651078712713,37.62533993507607,simple,low,True
08f2659a58872db50332bfe5ae096bf5,Potbelly Sandwich Shop,sandwich_shop,MS,1,standard_commercial,1c,small_urban_storefront,34.9627461,-89.8935552,34.96277247752141,-89.89331916668638,0.9,"The pin is placed at the main customer entrance of the Potbelly Sandwich Shop, which is visible on the street-facing facade.",gpt-4o-mini,34.96277247752141,-89.89331916668638,0.9,34.962552664842946,-89.8935552,0.9,"The primary vehicle entry point is visible on the right side of the property, where the driveway leads into the parking lot from the road.",both,34.962816440057104,-89.8935552,0.75,claude-haiku-4-5-20251001,22.06,"5400 Goodman Rd, Olive Branch, MS, 38654-9869, US",21.70806399891701,21.732481483004214,24.46954390048728,simple,low,True
08f2759301db539d0356df261133ee31,Palatine Farmers' Market,farmers_market,IL,3,open_space,3a,bounded_outdoor,42.1128041,-88.0469241,42.11262900435115,-88.0469241,0.9,"The pin is placed at the main access point of the farmers' market, which is likely near the parking lot entrance visible in the image.",gpt-4o-mini,,,,42.11262900435115,-88.0469241,0.9,,shared,,,,,,"137 W Wood St, Palatine, IL, 60067-5003, US",19.469747829097827,19.491647629115505,19.491647629115505,simple,low,True
08f489d59ab606c803517ccee128ff0f,Chateau Burg RV Resort,rv_park,TX,3,open_space,3b,large_outdoor,30.237558,-98.9018371,30.23726138942092,-98.9018371,0.9,"The pin is placed at the main entrance area where the parking lot is located, which serves as the primary access point for visitors.",gpt-4o-mini,,,,30.23726138942092,-98.9018371,0.9,,shared,,,,,,"3255 S State Highway 16, Fredericksburg, TX, 78624, US",32.981591582584514,33.01868966291778,33.01868966291778,complex,high,True
08f29a0a902565a903e695f84329a98c,Culichis & Beer,mexican_restaurant,CA,1,standard_commercial,1c,small_urban_storefront,33.981569,-117.5225842,33.981595689490916,-117.52234816668638,0.9,"The identified location is the main customer entrance facing the street, as it shows a door and signage typical for a restaurant entrance.",gpt-4o-mini,33.981595689490916,-117.52234816668638,0.9,33.981373277066595,-117.5225842,0.9,"The primary vehicle entry point is visible as a driveway leading into the parking lot from Etiwanda Ave, located directly south of the building.",both,33.981751378187944,-117.5226432083284,0.75,claude-haiku-4-5-20251001,32.25,"5850 Etiwanda Ave, Jurupa Valley, CA, 91752-2200, US",21.964807460379394,21.9895137336564,24.758947654288235,simple,low,True
08f29a198484d5800367d470e964a245,Azzura Condos,accommodation,CA,1,standard_commercial,1b,large_standalone,33.9846102,-118.4450189,33.98472585032267,-118.44478286668638,0.9,"The pin is placed at the main entrance of Azzura Condos, which is located on the street-facing facade. The entrance is identifiable by the door and signage visible in the imagery.",gpt-4o-mini,33.98472585032267,-118.44478286668638,0.9,33.983969675135974,-118.4450189,0.9,"The primary car entry point is located at the bottom of the image, where the driveway leads into the parking area of Azzura Condos.",both,33.984703609876,-118.4450779083284,0.72,claude-haiku-4-5-20251001,27.32,"13700 Marina Pointe Dr, Los Angeles, CA, 90292, US",25.278124051548097,25.306557182095787,34.66127649921172,simple,low,True
08f48e96daaeb666036938586e519141,Little Caesars Pizza,pizza_restaurant,AZ,1,standard_commercial,1c,small_urban_storefront,33.4933687,-112.2381929,33.493395541805945,-112.2379568666864,0.9,"The main entrance of Little Caesars Pizza is located on the street-facing side of the building, identifiable by the signage and door. The pin is placed close to the entrance.",gpt-4o-mini,33.493395541805945,-112.2379568666864,0.9,33.49308238740324,-112.2381929,0.9,"The primary vehicle entry point is visible as a driveway cut leading into the parking lot from the road, located to the right of the current pin.",both,33.493538698104324,-112.2381285272781,0.75,claude-haiku-4-5-20251001,22.51,"4010 N 83rd Ave, Phoenix, AZ, 85033-3531, US",22.09015909850288,22.115006368842987,24.900245252806492,simple,low,True
08f48ebaad05ca2a0347342bf096873d,Superstition Springs Mall - GameStop,e_cigarette_store,AZ,1,standard_commercial,1c,small_urban_storefront,33.3902523,-111.6910388,33.39041354237174,-111.6908027666864,0.9,"The identified location is the main customer entrance of the store, facing the street, as indicated by the visible door and signage.",gpt-4o-mini,33.39041354237174,-111.6908027666864,0.9,33.390055225990096,-111.6910388,0.9,"The identified entry point is the main driveway leading into the parking lot, which is visible from the road and serves as the primary access for vehicles to enter the property.",both,,,,,,"6555 E Southern Ave Spc 2104, Mesa, AZ, 85206, US",28.313729869996312,28.34557748444223,39.887759257149426,complex,high,True
08f2a84cf0035135038ee0c8f795caff,Gateway China Company,shopping,PA,2,multi_tenant,2a,strip_mall_tenant,40.8585551,-79.9107953,40.85857944340989,-79.91055926668639,0.9,"The pin is placed at the visible entrance of the Gateway China Company unit within the multi-tenant building, based on the address provided.",gpt-4o-mini,40.85857944340989,-79.91055926668639,0.9,40.85837658166078,-79.91055926668639,0.9,"The nearest parking lot entrance to Gateway China Company is located to the right of the current pin, accessible from the adjacent road.",both,,,,,,"415 Hansen Ave, Butler, PA, 16001-5655, US",20.034038822916887,20.05657334395683,22.58256625918159,simple,low,True
08f264d10e4998140334ab60d1b30387,Nashville Daily Spirits,liquor_store,TN,1,standard_commercial,1c,small_urban_storefront,36.112259,-86.7640078,36.1122850021959,-86.76377176668639,0.9,"The pin is placed at the main customer entrance of Nashville Daily Spirits, which is visible on the street-facing facade. The entrance is marked by a door and signage, indicating it is the primary access point for pedestrians.",gpt-4o-mini,36.1122850021959,-86.76377176668639,0.9,36.112068317230104,-86.7640078,0.9,The identified entry point is the most visible driveway entrance from the road leading into the parking lot of Nashville Daily Spirits.,both,,,,,,"708 Thompson Ln, Nashville, TN, 37204-3610, US",21.39918004969107,21.423250098661853,24.12136687820828,simple,low,True
