id,name,category_primary,region,tier_label,place_complexity,pin_ambiguity,should_move,offset_haversine_m,arrival_cost_m,gt_confidence,sidewalk_visible,parking_lot_crossing,barrier_detected
08f266694b8dd34103db5d8f268c8bfe,SNT Biotech Lab,pharmacy,IL,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f2af608b8633ac03a9430e8ba43b40,Debbie’s Doula Services,professional_services,VA,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f44a112bcc56d30324dd2659dd9b1b,Wax Custom Communications,advertising_agency,FL,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f44dab0c4b02db035754f1e3be0658,Advance Auto Parts,auto_parts_and_supply_store,NC,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f26e0cce79a7b603caea464ec624bb,Tanglefoot Wine Cellar,winery,KS,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f283429066298303bed6fc399bfad9,Birder's Garden,pet_store,CA,standard_commercial,simple,low,True,10.581385462788846,10.58,0.9,,False,False
08f2a10b1c8ded5a03a8fecf134cffae,Frame Center,framing_store,NY,standard_commercial,complex,high,False,0.0,10.0,0.9,,True,False
08f2a12a4cc9dd0e0322c9f4ab7ea904,Walmart Manville,shopping,NJ,multi_tenant,simple,low,False,0.0,0.0,0.9,,False,False
08f2a10680a5481c038912e2cbc64c3c,AT&T,mobile_phone_accessories,NJ,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f2aa5d42d4112e038c6625ff858b5b,Robbie's Produce Market,grocery_store,NY,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f2aacb2a04512c03af8b8a05907b21,Ruby Tuesday,american_restaurant,PA,standard_commercial,simple,low,False,0.0,0.0,0.9,,False,False
08f2a86d96d0c2f4039c1589e3f3c720,Skyway Drive-In - Green Location,burger_restaurant,OH,standard_commercial,simple,low,True,37.136871456997206,37.14,0.9,,False,False
08f44a905350da040353d4d8f649a6bc,J & V Communications,mobile_phone_store,FL,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f267572e5330000319afd679bf6ed5,Quick Stop Mart Academy,convenience_store,IL,standard_commercial,simple,low,True,37.15419390882712,37.15,0.9,,False,False
08f2a1380a48593603ab50ef9c0d6d7a,New Jersey State Funeral Directors' Association,funeral_services_and_cemeteries,NJ,open_space,simple,low,False,0.0,15.0,0.8,False,False,False
08f2ab31aad29ac003ae710a45927c46,Dave's Cosmic Subs,sandwich_shop,OH,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f44a1109358c2803c2653be159cddb,ZOI Restaurant and Lounge,restaurant,FL,standard_commercial,simple,low,True,44.273983790583394,44.27,0.9,,False,False
08f29b6d06c5459d0366de766faa0a5e,Blade Editorial Inc,professional_services,AZ,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f2798db531a6e903709bdf35e47d07,Panda Express,chinese_restaurant,MT,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f4440570d9eb4903005f9f097b3ab5,Jett's Food Mart,convenience_store,LA,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f48e810044c24c036d6a9260e3d6d9,Bulldog Bakery & BBQ,convenience_store,AZ,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f2a9152aaf6199036552e7bc4cffcc,Nationwide Insurance: Cambridge Insurance Group LLC,notary_public,OH,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f489eb508c63050353b5b573e563b6,Tax Lifeline LLC,professional_services,TX,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f29a561a0cd85c03cdc68255288f39,PACO Steel & Engineering Corp.,engineering_services,CA,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f2ab175ca5ca5d03ab32d6e5931fee,The Regency House,caterer,OH,no_building,simple,high,False,0.0,0.0,0.3,,False,False
08f2666940d461890330dac3dbd7142f,Contract Screenprinting Inc.,screen_printing_t_shirt_printing,IL,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
08f29b6d5d352755036ac504152622eb,Tempus West Valley Realty,videographer,AZ,no_building,multi_tenant,high,False,0.0,0.0,0.3,,False,False
08f2659a58872db50332bfe5ae096bf5,Potbelly Sandwich Shop,sandwich_shop,MS,standard_commercial,simple,low,True,40.310848868626,40.31,0.9,,False,False
08f2ad453525390c034dae0eed8c42df,Richie Ballance Flooring & Tile,carpet_store,NC,standard_commercial,simple,low,False,0.0,0.0,1.0,,False,False
